,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
407,407,Damofalls - House,"$68,000",5 bedrooms,not stated,2 bathrooms,damofalls
408,408,Budiriro - House,"$43,000",6 bedrooms,2 bathrooms,300 m²,harare high density
409,409,Chitungwiza - House,"$31,500",4 bedrooms,not stated,250 m²,chitungwiza
410,410,Ashdown Park - House,"$55,000",6 bedrooms,4 bathrooms,500 m²,harare west
411,411,Greendale - House,"$450,000",4 bedrooms,3 bathrooms,6674 m²,harare east
412,412,Glen Lorne - House,"$460,000",4 bedrooms,2 bathrooms,5000 m²,harare north
413,413,Quinnington - House,no price,3 bedrooms,2 bathrooms,15020000 m²,harare north
414,414,Budiriro - House,"$35,000",6 bedrooms,1 bathrooms,300 m²,harare high density
415,415,Rockview - House,"$60,000",4 bedrooms,2 bathrooms,1000 m²,harare east
416,416,Hatfield - House,"$90,000",4 bedrooms,2 bathrooms,2080 m²,harare south
417,417,Marimba Park - House,"$85,000",4 bedrooms,2 bathrooms,312 m²,harare high density
418,418,Zimre Park - House,"$65,000",3 bedrooms,2 bathrooms,604 m²,harare east
419,419,Chinhoyi - House,"$85,000",3 bedrooms,1 bathrooms,2703 m²,chinhoyi
420,420,New Marlborough - House,"$150,000",3 bedrooms,not stated,580 m²,harare west
421,421,Waterfalls - House,"$170,000",3 bedrooms,3 bathrooms,6025 m²,harare south
422,422,Tynwald - House,"$95,000",3 bedrooms,2 bathrooms,455 m²,harare west
423,423,Famona - House,"$85,000",not stated,not stated,3 bedrooms,bulawayo south
424,424,Ruwa - House,"$45,000",3 bedrooms,not stated,300 m²,ruwa
425,425,Springvale - House,"$65,000",4 bedrooms,1 bathrooms,290 m²,ruwa
426,426,Arlington - House,"$95,000",5 bedrooms,not stated,444 m²,harare south
427,427,Waterfalls - House,"$250,000",3 bedrooms,2 bathrooms,4090 m²,harare south
428,428,Mt Pleasant Heights - House,"$190,000",5 bedrooms,3 bathrooms,1936 m²,harare west
429,429,Crowhill Views - House,"$180,000",5 bedrooms,4 bathrooms,1000 m²,harare north
430,430,Mabelreign - House,"$125,000",3 bedrooms,not stated,1080 m²,harare west
431,431,Hillside - House,"$230,000",4 bedrooms,2 bathrooms,8011 m²,bulawayo south
432,432,Pomona - House,"$100,000",4 bedrooms,4 bathrooms,2100 m²,harare north
433,433,Brookview - House,"$600,000",not stated,not stated,6 bedrooms,harare north
434,434,Belvedere - House,"$190,000",4 bedrooms,2 bathrooms,1400 m²,harare west
435,435,Ruwa - House,"$35,000",4 bedrooms,not stated,870 m²,ruwa
436,436,Zimre Park - House,"$68,000",4 bedrooms,1 bathrooms,500 m²,harare east
437,437,Seke - House,no price,6 bedrooms,4 bathrooms,2500 m²,seke
438,438,Dangamvura - House,"$25,000",2 bedrooms,1 bathrooms,410 m²,mutare
439,439,"Chisipite - House, House","$650,000",3 bedrooms,3 bathrooms,4853 m²,harare north
440,440,Parktown - House,"$80,000",3 bedrooms,not stated,1000 m²,harare south
441,441,Kumalo - House,"$290,000",3 bedrooms,2 bathrooms,3026 m²,bulawayo east
442,442,Norton - House,"$85,000",5 bedrooms,not stated,1890 m²,norton
443,443,Mainway Meadows - House,"$135,000",3 bedrooms,not stated,578 m²,harare south
444,444,Windsor Park - House,"$130,000",5 bedrooms,not stated,2000 m²,ruwa
